Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,AFG,"Population, total",SP.POP.TOTL,25950816,26697430,27465525,28255719,29068646,29904962,30751661,31622333,32517656,33438329,34385068,35320445,
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2.91713919813292,2.87703477223993,2.87703722792794,2.87703948859526,2.87703526496708,2.87703802922228,2.83129936764341,2.83130072226017,2.83129963877111,2.83130186259428,2.83129877692154,2.72029998602883,
Afghanistan,AFG,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,5083526734.26075,6146246372.0258,6963660037.98195,8363451195.00407,9648993029.48374,12329497688.539,14424638668.5283,16589620328.1291,
Afghanistan,AFG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,170,210,230,260,300,370,420,470,
Afghanistan,AFG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,15540608478.4662,17218883109.9666,17945804095.2134,20617632723.286,22562547086.0474,26334690706.6096,27970029771.7235,34126585532.3547,37244592633.8976,40267838526.0327,
Afghanistan,AFG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,570,610,620,690,730,830,860,1020,1080,1140,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,,2461666314.76859,4093797449.88745,4589112903.78521,5283562278.67444,6269129359.36674,7057055309.38183,8720455003.4206,10617347740.0303,12244505991.739,15712654582.7823,19176772039.8503,
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,8.44416323309444,1.05555580243364,11.1752702208793,5.55413764076813,13.7402049677366,3.61136841109129,21.0202802373519,8.43455968668852,5.73716158889918,
Afghanistan,AFG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,11.7156723603957,11.2427293712466,10.9002680057714,7.17126074214274,8.72844543070683,18.1858954964014,-4.73729955643365,9.43732223682328,12.857018422163,
Afghanistan,AFG,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,8.8591224784561,7.80918294713746,7.77385404484363,10.5167948597441,11.0361174004847,,
