"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Albania","Male 0-17 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","525596",""
"Albania","Male 0-17 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","589283",""
"Albania","Male 0-17 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","614104",""
"Albania","Male 0-17 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","661022",""
"Albania","Male 0-17 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","626351",""
"Albania","Male 15-24 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","292940",""
"Albania","Male 15-24 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","265206",""
"Albania","Male 15-24 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","273092",""
"Albania","Male 15-24 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","330438",""
"Albania","Male 15-24 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","319411",""
"Albania","Male 15-64 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","1020177",""
"Albania","Male 15-64 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","931621",""
"Albania","Male 15-64 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","974683",""
"Albania","Male 15-64 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","1051571",""
"Albania","Male 15-64 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","924123",""
"Albania","Male 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","124478",""
"Albania","Male 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","102549",""
"Albania","Male 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","86750",""
"Albania","Male 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","75712",""
"Albania","Male 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","71652",""
"Algeria","Female 0-14 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","4760664",""
"Algeria","Female 0-14 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","5081845",""
"Algeria","Female 0-14 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","5473451",""
"Algeria","Female 0-14 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","5323277",""
"Algeria","Female 0-14 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","4862469",""
"Algeria","Female 0-17 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","5854783",""
"Algeria","Female 0-17 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","6195997",""
"Algeria","Female 0-17 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","6456203",""
"Algeria","Female 0-17 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","6163558",""
"Algeria","Female 0-17 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","5598423",""
"Algeria","Female 15-24 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","3631663",""
"Algeria","Female 15-24 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","3385683",""
"Algeria","Female 15-24 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","2930610",""
"Algeria","Female 15-24 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","2534825",""
"Algeria","Female 15-24 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","2193567",""
"Algeria","Female 15-64 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","10690715",""
