Movie Title,Time,Genre,Directors,Writers,Actors,Rating,Number of Ratings
Amores Perros,154,Crime;Drama;Thriller,Alejandro Gonzlez Irritu,Guillermo Arriaga,Emilio Echevarra;Gael Garca Bernal;Goya Toledo,8.1,"105,934"
The Bourne Ultimatum,115,Action;Crime;Thriller,Paul Greengrass,Tony Gilroy;Scott Z. Burns,Matt Damon;dgar Ramrez;Joan Allen,8.1,"279,753"
Mary and Max,92,Animation;Comedy;Drama,Adam Elliot,Adam Elliot,Toni Collette;Philip Seymour Hoffman;Eric Bana,8.2,"55,133"
The 400 Blows,99,Crime;Drama,Franois Truffaut,Franois Truffaut;Marcel Moussy,Jean-Pierre Laud;Albert Rmy;Claire Maurier,8.1,"39,801"
Life of Pi,127,Adventure;Drama,Ang Lee,David Magee;Yann Martel,Suraj Sharma;Irrfan Khan;Adil Hussain,8.2,"102,390"
Persona,83,Drama,Ingmar Bergman,Ingmar Bergman,Bibi Andersson;Liv Ullmann;Margaretha Krook,8.2,"30,901"
Gandhi,191,Biography;Drama;History,Richard Attenborough,John Briley,Ben Kingsley;John Gielgud;Candice Bergen,8.1,"93,341"
The Graduate,106,Comedy;Drama;Romance,Mike Nichols,Calder Willingham;Buck Henry,Dustin Hoffman;Anne Bancroft;Katharine Ross,8.1,"130,214"
Howl's Moving Castle,119,Animation;Action;Adventure,Hayao Miyazaki,Hayao Miyazaki;Diana Wynne Jones,Chieko Baish;Takuya Kimura;Tatsuya Gashin,8.1,"100,995"
The Killing,85,Crime;Film-Noir;Thriller,Stanley Kubrick,Stanley Kubrick;Jim Thompson,Sterling Hayden;Coleen Gray;Vince Edwards,8.1,"39,010"
The Princess Bride,98,Adventure;Comedy;Family,Rob Reiner,William Goldman;William Goldman,Cary Elwes;Mandy Patinkin;Robin Wright,8.1,"183,008"
8,138,Drama;Fantasy,Federico Fellini,Federico Fellini;Ennio Flaiano,Marcello Mastroianni;Anouk Aime;Claudia Cardinale,8.1,"47,858"
A Beautiful Mind,135,Biography;Drama,Ron Howard,Akiva Goldsman;Sylvia Nasar,Russell Crowe;Ed Harris;Jennifer Connelly,8.1,"286,388"
Slumdog Millionaire,120,Drama;Romance;Thriller,Danny Boyle;Loveleen Tandan,Simon Beaufoy;Vikas Swarup,Dev Patel;Freida Pinto;Saurabh Shukla,8.1,"363,173"
The Hustler,134,Drama;Sport,Robert Rossen,Sidney Carroll;Robert Rossen,Paul Newman;Jackie Gleason;Piper Laurie,8.1,"38,330"
Who's Afraid of Virginia Woolf?,131,Drama,Mike Nichols,Ernest Lehman,Elizabeth Taylor;Richard Burton;George Segal,8.1,"32,989"
The Artist,100,Comedy;Drama;Romance,Michel Hazanavicius,Michel Hazanavicius,Jean Dujardin;Brnice Bejo;John Goodman,8.1,"107,699"
La strada,108,Drama,Federico Fellini,Federico Fellini;Tullio Pinelli,Anthony Quinn;Giulietta Masina;Richard Basehart,8.1,"28,220"
The Manchurian Candidate,126,Drama;Mystery;Romance,John Frankenheimer,Richard Condon;George Axelrod,Frank Sinatra;Laurence Harvey;Janet Leigh,8.1,"48,246"
Rocky,119,Drama;Sport,John G. Avildsen,Sylvester Stallone,Sylvester Stallone;Talia Shire;Burt Young,8.1,"188,391"
Anatomy of a Murder,160,Crime;Drama;Mystery,Otto Preminger,Wendell Mayes;John D. Voelker,James Stewart;Lee Remick;Ben Gazzara,8.1,"27,416"
The Wild Bunch,145,Western,Sam Peckinpah,Walon Green;Sam Peckinpah,William Holden;Ernest Borgnine;Robert Ryan,8.1,"45,451"
The Exorcist,122,Horror;Thriller,William Friedkin,William Peter Blatty;William Peter Blatty,Ellen Burstyn;Max von Sydow;Linda Blair,8.0,"185,186"
Stalag 17,120,Comedy;Drama;Thriller,Billy Wilder,Billy Wilder;Edwin Blum,William Holden;Don Taylor;Otto Preminger,8.1,"29,568"
Sleuth,138,Mystery;Thriller,Joseph L. Mankiewicz,Anthony Shaffer;Anthony Shaffer,Laurence Olivier;Michael Caine;Alec Cawthorne,8.1,"26,361"
Rope,80,Crime;Drama;Mystery,Alfred Hitchcock,Hume Cronyn;Patrick Hamilton,James Stewart;John Dall;Farley Granger,8.1,"56,001"
The Man Who Shot Liberty Valance,123,Drama;Romance;Western,John Ford,James Warner Bellah;Willis Goldbeck,James Stewart;John Wayne;Vera Miles,8.1,"34,655"
Barry Lyndon,184,Adventure;Drama;Romance,Stanley Kubrick,Stanley Kubrick;William Makepeace Thackeray,Ryan O'Neal;Marisa Berenson;Patrick Magee,8.1,"61,028"
Infernal Affairs,101,Crime;Mystery;Thriller,Wai-keung Lau;Alan Mak,Alan Mak;Felix Chong,Andy Lau;Tony Leung Chiu Wai;Anthony Wong Chau-Sang,8.1,"55,917"
