ZipCode,City,State,Latitude,Longitude,RepubTotal,DemTotal,PerCapita
3885,STRATHAM,NH,43.02,-70.91,17800,1750,
3586,SUGAR HILL,NH,44.23,-71.78,0,200,
3445,SULLIVAN,NH,43.01,-72.21,0,2789,
3782,SUNAPEE,NH,43.38,-72.08,9150,1750,
3275,SUNCOOK,NH,43.13,-71.45,3231.62,0,
3446,SWANZEY,NH,42.86,-72.28,4750,0,
3886,TAMWORTH,NH,43.85,-71.26,0,5500,
3084,TEMPLE,NH,42.81,-71.83,1000,0,
3285,THORNTON,NH,43.93,-71.62,500,0,
3276,TILTON,NH,43.44,-71.58,13000,0,
3298,TILTON,NH,43.44,-71.58,0,0,
3299,TILTON,NH,43.44,-71.58,0,0,
3465,TROY,NH,42.83,-72.18,0,0,
3595,TWIN MOUNTAIN,NH,44.3,-71.5,250,0,
3887,UNION,NH,43.45,-71.03,1000,0,
3608,WALPOLE,NH,43.08,-72.43,6750,9140,
3278,WARNER,NH,43.28,-71.81,0,0,
3279,WARREN,NH,43.92,-71.89,0,0,
3280,WASHINGTON,NH,43.17,-72.09,0,250,
3215,WATERVILLE VALLEY,NH,43.95,-71.5,0,650,
3281,WEARE,NH,43.1,-71.73,4802.4,250,
3282,WENTWORTH,NH,43.87,-71.91,250,0,
3466,WEST CHESTERFIELD,NH,42.87,-72.51,0,0,
3784,WEST LEBANON,NH,43.62,-72.29,4250,2600,
3291,WEST NOTTINGHAM,NH,43.13,-71.12,0,0,
3890,WEST OSSIPEE,NH,43.83,-71.2,0,0,
3468,WEST PETERBOROUGH,NH,42.85,-71.96,0,0,
3597,WEST STEWARTSTOWN,NH,44.95,-71.49,0,0,
3469,WEST SWANZEY,NH,42.87,-72.32,0,0,
3467,WESTMORELAND,NH,42.96,-72.45,0,0,
3598,WHITEFIELD,NH,44.37,-71.61,250,450,
3287,WILMOT,NH,43.45,-71.91,500,250,
3086,WILTON,NH,42.84,-71.73,1652.4,200,
3470,WINCHESTER,NH,42.77,-72.38,0,0,
3087,WINDHAM,NH,42.8,-71.3,15732.2,2500,
3289,WINNISQUAM,NH,43.5,-71.49,0,0,
3894,WOLFEBORO,NH,43.58,-71.2,26600,980,
3896,WOLFEBORO FALLS,NH,43.59,-71.24,4000,0,
3897,WONALANCET,NH,43.87,-71.28,0,512,
3293,WOODSTOCK,NH,43.97,-71.68,0,0,
3785,WOODSVILLE,NH,44.14,-72.02,201.2,0,
