City,ZipCode,State,Latitude,Longitude,RepubTotal,DemTotal,PerCapita
SOUTH NEWBURY,3272,NH,43.29,-72,0,0,
SOUTH SUTTON,3273,NH,43.31,-71.92,0,0,
SOUTH TAMWORTH,3883,NH,43.83,-71.31,0,250,
SPOFFORD,3462,NH,42.9,-72.4,3500,0,
SPRINGFIELD,3284,NH,43.49,-72.03,0,1000,28933
STINSON LAKE,3274,NH,43.86,-71.8,0,0,
STODDARD,3464,NH,43.08,-72.1,250,0,30624
STRAFFORD,3884,NH,43.32,-71.18,0,0,32322
STRATHAM,3885,NH,43.02,-70.91,17800,1750,51674
SUGAR HILL,3586,NH,44.23,-71.78,0,200,37857
SULLIVAN,3445,NH,43.01,-72.21,0,2789,27938
SUNAPEE,3782,NH,43.38,-72.08,9150,1750,38737
SUNCOOK,3275,NH,43.13,-71.45,3231.62,0,24643
SWANZEY,3446,NH,42.86,-72.28,4750,0,27548
TAMWORTH,3886,NH,43.85,-71.26,0,5500,30643
TEMPLE,3084,NH,42.81,-71.83,1000,0,29377
THORNTON,3285,NH,43.93,-71.62,500,0,26177
TILTON,3276,NH,43.44,-71.58,13000,0,24894
TILTON,3298,NH,43.44,-71.58,0,0,24894
TILTON,3299,NH,43.44,-71.58,0,0,24894
TROY,3465,NH,42.83,-72.18,0,0,24665
TWIN MOUNTAIN,3595,NH,44.3,-71.5,250,0,
UNION,3887,NH,43.45,-71.03,1000,0,18402
WALPOLE,3608,NH,43.08,-72.43,6750,9140,23338
WARNER,3278,NH,43.28,-71.81,0,0,28381
WARREN,3279,NH,43.92,-71.89,0,0,21189
WASHINGTON,3280,NH,43.17,-72.09,0,250,31654
WATERVILLE VALLEY,3215,NH,43.95,-71.5,0,650,47128
WEARE,3281,NH,43.1,-71.73,4802.4,250,31731
WENTWORTH,3282,NH,43.87,-71.91,250,0,20530
WEST CHESTERFIELD,3466,NH,42.87,-72.51,0,0,
WEST LEBANON,3784,NH,43.62,-72.29,4250,2600,
WEST NOTTINGHAM,3291,NH,43.13,-71.12,0,0,
WEST OSSIPEE,3890,NH,43.83,-71.2,0,0,
WEST PETERBOROUGH,3468,NH,42.85,-71.96,0,0,
WEST STEWARTSTOWN,3597,NH,44.95,-71.49,0,0,14315
WEST SWANZEY,3469,NH,42.87,-72.32,0,0,27372
WESTMORELAND,3467,NH,42.96,-72.45,0,0,30871
WHITEFIELD,3598,NH,44.37,-71.61,250,450,18846
WILMOT,3287,NH,43.45,-71.91,500,250,32672
WILTON,3086,NH,42.84,-71.73,1652.4,200,23185
WINCHESTER,3470,NH,42.77,-72.38,0,0,20791
WINDHAM,3087,NH,42.8,-71.3,15732.2,2500,48336
WINNISQUAM,3289,NH,43.5,-71.49,0,0,
WOLFEBORO,3894,NH,43.58,-71.2,26600,980,29630
WOLFEBORO FALLS,3896,NH,43.59,-71.24,4000,0,
WONALANCET,3897,NH,43.87,-71.28,0,512,
WOODSTOCK,3293,NH,43.97,-71.68,0,0,25616
WOODSVILLE,3785,NH,44.14,-72.02,201.2,0,14744
